text,sentiment
I love this movie,positive
This movie is amazing,positive
I really enjoyed this film,positive
The movie was fantastic,positive
I am very happy with this product,positive
This product is excellent,positive
The service was great,positive
The experience was wonderful,positive
I highly recommend this,positive
This is the best movie I have seen,positive
The story was beautiful,positive
The acting was excellent,positive
I had a great experience,positive
Everything worked perfectly,positive
I am satisfied with the result,positive
This was an awesome experience,positive
I hate this movie,negative
This movie is terrible,negative
I really disliked this film,negative
The movie was boring,negative
I am very disappointed with this product,negative
This product is awful,negative
The service was terrible,negative
The experience was horrible,negative
I would not recommend this,negative
This is the worst movie I have seen,negative
The story was boring,negative
The acting was terrible,negative
I had a bad experience,negative
Everything stopped working,negative
I am unhappy with the result,negative
This was a horrible experience,negative
